SESSION_ID,ACCOUNT_ID,STARTED_AT,ENDED_AT
c40e4dc2-e332-4742-9292-f51dda6b2b0b,d7b6d679-9d45-401a-b6df-a9c25936ae40,2022-03-24 06:46:39,2022-03-24 07:01:23
4e546012-b25a-4e8a-b1c3-fad6d2ad37eb,5ff82aed-b5be-43d7-9199-e95ce1fcbf2f,2022-05-17 15:24:20,2022-05-17 15:43:14
597f8f46-3c4f-4be3-9073-6cbce2311969,2e9f7c5f-27e5-426b-a791-f9e4a68f5f14,2022-05-07 17:56:02,2022-05-07 18:23:32
b7319989-7aa7-4052-8bcf-9e1aac1febeb,b035233d-9d9b-42c8-862d-ad4799366de9,2022-07-22 20:23:41,2022-07-22 20:49:18
d35a90e5-b3c7-455c-b7b7-b92f8fa319ed,35d40a9d-5912-4e01-beb6-72e85a1b2c57,2022-09-25 20:21:15,2022-09-25 20:36:05
9643713f-761f-4f42-9c0c-ffc1122ccff7,98a0a7c5-1d78-4548-823d-0d55cf975444,2021-01-18 13:10:39,2021-01-18 13:39:20
748d137c-23fa-40eb-9646-faada5e7da0b,fd982e76-3610-4235-acd8-d01231516cf4,2022-09-22 08:38:32,2022-09-22 08:43:29
03200e5c-1c66-4587-ad7e-cc29a6e0e75b,24822ae6-31f7-4888-a402-167c0bdd90ba,2021-11-02 12:21:49,2021-11-02 12:34:49
b57076b8-ccab-437e-9e16-e0b7f3458e33,f34fafd7-80b1-4bed-9002-0dc2025ae967,2021-12-04 18:20:40,2021-12-04 18:24:48
9f2bc2cf-4d6c-4fed-be6d-19a55482aa72,6d56b483-7c61-4a1d-b552-91a48a775d1b,2021-06-11 10:29:52,2021-06-11 10:53:32
4d4d155e-e46a-4f91-81f7-c413af636a48,1f02965a-9552-43b0-8206-0a6ec9394b04,2022-12-19 07:09:17,2022-12-19 07:12:54
6183749e-6575-4a98-94c7-b4c0bd919b38,6af31efc-499e-4c26-8d58-5699c340fe6b,2022-07-15 03:34:02,2022-07-15 03:38:33
b9276244-d921-4337-8fe1-b85fbc83dcbe,1a9076df-986f-4e9f-b7b4-f9a33fd35e52,2021-09-30 18:43:01,2021-09-30 18:54:45
db2f272c-c01f-41fd-a461-8c1d56ff980e,d3986961-024a-46e6-a682-0c38fd87bcbb,2021-11-26 18:29:54,2021-11-26 18:55:07
66dad70f-f5a8-46a4-94b8-5b3158c5b1db,3fda6f35-7ca6-41db-a193-7217ca7f55d9,2022-01-03 05:00:36,2022-01-03 05:23:13
3c283ef9-44a7-4c14-810e-4eeb352717f7,e77b1d9a-c77e-4bcf-98a5-8fb470847697,2022-07-20 21:34:25,2022-07-20 22:02:36
