CART_ID,SESSION_ID,CLOSED_CART,HAS_ORDER
4067b38b-57bd-4368-b173-4d0d2674e1a5,527731fb-e097-4109-8882-5f68094a0de0,1,1
e2ddd285-7fe4-440a-8614-10da40ebcc9b,c8eeacc6-d92d-4493-8572-c219f4098a62,1,0
99e8a770-1849-4126-84aa-ec7cd436ffec,cf4581c3-3a87-4ad6-960a-a438c1e4b148,0,0
b8860827-d55b-45cc-a2d6-86ead44e2d8e,d2af415a-f1b7-41cd-a9e2-738aa5619d3e,1,1
a798b8cb-2fe5-42e4-b44c-907c16380eef,a2dfee96-d84f-4c3e-819b-a847a89a081d,1,1
a4a0c596-ef84-4637-b920-c9c364cfa5f7,b0bbe28f-49c5-4956-b93f-8be3e9152930,1,1
dca2e4d0-aaa1-4e5a-80fc-7a866485da94,f439f9cc-fd26-4233-a532-cd2053e6951e,0,0
913ac8d0-124b-4b29-a6d3-854a1bc74d39,98acab77-30ea-48c8-ae32-6cc20066775b,0,0
a6bfaceb-3b32-4037-b4b9-30f5e7dbe1fc,cdf298ef-5fec-4742-98da-fe19c04996a4,0,0
09d0b69d-0dfe-4de3-8fec-bff998a08267,5db5776e-ea0e-4a1f-b843-4d0005a1776c,0,0
7e9a36f5-ab9c-4c9c-92e6-c8e81257747e,eabb7232-08f6-4e59-8271-4a95d7d731d4,1,1
f942a0b0-f5f5-4553-bd44-cbd38021e893,1a9bc31b-0f98-4765-bf8a-019878b4650d,0,0
0462e4e0-a34a-499e-9b40-4b109a2f6a21,2daa4925-0daf-417a-a830-b56c002d1bbf,1,1
c28e429e-5ea7-4c4a-8c6d-040632fb882f,a4fc52a9-a8df-4253-aed2-c44dc4bb1404,0,0
c65c1190-ef04-459b-8bf0-bad689e007e5,b5ced572-1492-4505-a142-64c1f105d748,0,0
ec6e0670-db8a-49d5-8617-64d5722493c3,bbe94c29-9738-49fd-a836-6e6c7942a0d3,0,0
21593288-d5c1-4ff1-82ef-19ac805f2f30,b1146fe7-4421-45bd-9b07-7bad4552c74d,1,0
