ORDER_ID,PAYMENT_ID,CART_ID,TOTAL_AMOUNT_SPEND,DATE_ORDER
2a89b5d6-d25b-4e23-80cf-fbc03edb1796,98bb7513-6706-41f6-b479-7d93c125f706,4067b38b-57bd-4368-b173-4d0d2674e1a5,327.49,2022-06-25 11:44:15
275173bd-2821-42b0-9543-993a3462e290,b85266cf-ac7b-47ba-b638-0ae4bc1b4695,b8860827-d55b-45cc-a2d6-86ead44e2d8e,395.54,2022-01-24 06:06:41
52d663e2-a1f1-485e-9b2b-8a73e270a25d,163d7f3a-b008-4a65-bf42-47b0801f6752,a798b8cb-2fe5-42e4-b44c-907c16380eef,619.9,2022-06-16 15:17:35
f0f89844-e74d-42ad-9927-4ec8149af284,fd42e7be-1501-44fc-b205-bb3f76eccad9,a4a0c596-ef84-4637-b920-c9c364cfa5f7,192.5,2021-04-08 00:13:43
030b9456-e578-4fc1-b1c1-ccf16fce62fb,279e6788-d3f1-4099-9292-760a53e5518f,7e9a36f5-ab9c-4c9c-92e6-c8e81257747e,280.5,2022-06-09 02:48:29
c3d6a392-eb6b-4269-9267-99e610bad1b4,03fee0a6-2202-484d-8245-64820b18fc54,0462e4e0-a34a-499e-9b40-4b109a2f6a21,578.3299999999999,2021-08-14 22:01:53
e86f10f8-04cc-4daf-a068-7b9313c874ab,99524321-067e-4a56-bf7f-78d0372bedf7,c5ed54fc-a238-40fb-9b6d-a076d18f7e43,229.6,2022-09-23 03:24:57
12125275-73cb-44a4-86ce-b8c68c0d2bba,2fb8c989-a883-4fd7-a77f-b56047a67476,9da7b5d3-d87d-4580-94e8-318754d95ef6,410.34000000000003,2021-01-15 03:24:01
322ebf59-c3be-4b61-bb53-589717f2fb16,eae9016c-858a-46a7-bd8e-a96c31ced6cc,c39e9750-243a-4422-bf8a-ca3e0d724e2c,270.72999999999996,2022-11-11 17:57:23
906d2a17-f788-4e5a-80f9-d75e2c860e04,65da9388-3665-4341-8eda-dd4ee4c4801b,068cc1c4-72ad-4abb-92e2-44e1a75b2c86,,2021-10-01 01:28:18
ea2a23b8-ae3f-48c6-a24f-8d7ed39e472d,18431c9f-bd97-4e83-84b1-f6ab2f45f632,dd9bdf31-9752-4473-a344-34f1c4518f27,181.4,2021-05-30 17:21:50
c59a58d3-91db-4c97-9a75-ae16af3d6a20,f5a8face-11e2-4e3c-ab44-b89ce061be3f,d496af31-d514-4fa9-83bc-09ddc0fe5fa7,568.75,2021-09-02 00:42:16
8069cf00-4141-4729-9008-de65ed169b76,afe4fef7-77a1-4407-9095-0d180a9a4f26,d62337da-38f1-4616-b601-ed79acdaeaf5,428.28999999999996,2021-11-10 20:40:04
88e001a8-bf3a-4119-8197-8d26607318b3,20b21ccc-f110-47e8-909b-37b4ecf1976f,59205be3-a9fc-4843-af95-9e3bdda2983d,116.88,2022-02-06 12:11:36
c30925a7-703f-48c6-a15d-5bfcd9685bd5,7137c297-ebee-48ef-a3d7-3291488666af,b6da6cdc-1524-4f38-b373-221e7e21739a,1399.94,2021-10-05 23:32:18
797ae18e-7f4e-4e30-903c-b1b771a9e314,c5f16c7d-995a-411f-a58b-a09369dcf192,3d400ca5-10a4-4f7e-a2b7-13aa6bab29d1,165.62,2022-05-11 05:42:54
b8dc4f03-31f8-4933-9de7-147117d01701,60ab8c0d-6ce8-4208-b88d-ef4f6813a09a,f3ebfc4f-de15-4fc8-8d67-fcbfa2f94965,433.23,2022-07-16 20:46:52
d96dea5c-7864-470c-be16-9c9f087a0cf5,0477d082-17ca-458b-8675-5ef2c026e9c6,f49cc707-a133-49e3-88af-397e2bdc0b71,400.94,2022-05-10 19:53:49
9c9d2807-e7fb-4d44-a372-d517a612abd3,1f8d7464-2762-4eea-beca-4260ffe550a4,c5329250-69c5-4e6e-89da-7702e4458c6b,847.87,2021-07-12 17:41:38
617b1601-cca1-44f1-a3ad-388a54b904d2,202a4db8-4665-4226-bf14-eee3c0d7fde3,29604646-51e6-4b8b-8c4b-86c02ea367f4,553.69,2022-10-02 08:22:31
0cfd6120-fd20-4c11-8d76-070978fe9d24,c7b94839-b44f-4396-81d3-8eb832121a65,e6e2dcac-a907-4820-b8e7-df65b869ccaf,477.40999999999997,2022-10-13 14:45:08
763e5232-ef0a-4ff9-9998-3795c2f2327f,f19e1600-5909-41d9-a4c6-3411ea3d4946,21c341d2-ea80-4430-9a56-a70159e32833,201.64999999999998,2022-06-03 18:59:40
2c069ff6-ad0c-495c-9531-5e664f0fc38c,5d6dc018-cc1d-45c9-aac6-544c6714bf64,f03adecc-a492-4705-a7b4-9a5bae3dfb78,356.07,2021-02-17 15:33:33
366a29df-be20-475a-8edb-3af9bfc55cc5,b08635bb-eb59-44ac-8141-500de31e243b,f3efba99-8764-46a8-b914-dbffbeeadb49,373.73,2022-09-05 20:27:57
5517b874-db0c-44bf-b48e-b115c29ff385,50b864f7-c5df-48a6-9f56-312b5c6c8b97,69ed0918-9316-4220-ab0b-9945f038b156,820.23,2021-04-03 00:14:41
e43c7626-4c7e-4577-a8d3-1dc285b2704f,daec2d23-6479-4d83-8a24-7a63eb7faf7f,fe34ff4c-8334-4ef3-84f8-bbc12a8d1d41,470.38,2021-03-16 16:12:18
ab44414d-2503-4b92-ad0b-bff85ca3186d,e0cc0db9-bc5e-457c-83cc-e2099507b07b,124efcdf-106d-4e8b-9ca0-d6e1f67491b8,717.5600000000001,2022-06-18 20:37:07
90e886ae-ba2a-4709-81fa-89e700a0a4e6,a2faad44-ff9e-43d4-b721-4aa08b44ee26,e1fb183e-f4ba-445e-8997-5e277a8daad1,672.15,2022-08-06 20:52:31
0596c017-8e27-49a5-a164-3c9ca9bc42a0,6410ed9c-c989-4a6b-b427-5829cd5dc66f,468bac8d-85e8-44aa-9450-302d54cf1d2b,803.05,2022-07-14 21:39:41
ab1f3c67-77cf-4dbf-8c51-f2f87810c99a,533effa7-25bd-40e0-b0a9-3a2ca3c1efe8,bd9e7be9-ae61-4a79-8fea-0560c3c088a9,178.88,2021-06-11 23:03:59
3895981a-f9d7-401e-92a4-6755ecab95e5,d91c67c2-f66a-4f2c-9576-09ed88a72980,171a25fd-2eda-4751-8447-c5e8cdc06bdf,589.97,2022-01-27 09:19:53
a54ab1fb-6c98-48e8-ad81-f05a9cb61a62,31b24fe7-a1c4-4411-b488-8e0a996d51f1,19cf2d42-6d34-473b-9411-d16e4e3cf8d3,145.92000000000002,2021-01-05 18:35:18
6c5a5583-e9d2-4e23-b9d5-9775de1adaa8,7c4bfe02-2bb3-4d9e-af40-a3716cffc4b7,e3f50630-642a-476a-aa72-45c33f3b2ee2,387.46000000000004,2021-04-10 18:01:06
ff9ec2ee-eebe-40ff-97c6-f3f152503a28,9849a9aa-3d2a-43ba-8f61-d43508739387,9f685106-d25a-4c78-a9bc-bb9f08033c44,301.34000000000003,2022-12-01 02:35:25
96929c9a-a402-4bf0-b130-ba104a151e12,975da939-653f-4e3d-a181-65a1c10d38f0,7e2aaa11-83ba-4a35-ae3d-8d9a26ca612d,579.41,2021-09-27 18:26:37
