CART_ID,ITEM_ID,QUANTITY
4067b38b-57bd-4368-b173-4d0d2674e1a5,2a48f166-8f6d-491c-a2ee-b40be07c12bf,2
4067b38b-57bd-4368-b173-4d0d2674e1a5,8b551ad2-d289-45da-af9e-7fe6f370bfbd,2
4067b38b-57bd-4368-b173-4d0d2674e1a5,8fd1b4da-18c8-4967-8eab-145a2bd91859,1
4067b38b-57bd-4368-b173-4d0d2674e1a5,a4f9718f-17e5-4fdf-a323-54ec75b329ef,2
4067b38b-57bd-4368-b173-4d0d2674e1a5,3cb27960-3c7f-474d-af00-56dadcb76811,4
4067b38b-57bd-4368-b173-4d0d2674e1a5,bf81b973-6728-449c-aaea-0c091fe7a957,1
e2ddd285-7fe4-440a-8614-10da40ebcc9b,3f15f556-28c3-4812-acec-ca178954cc3a,3
e2ddd285-7fe4-440a-8614-10da40ebcc9b,d558c97b-8460-4f34-845a-8fa40db07908,2
99e8a770-1849-4126-84aa-ec7cd436ffec,d90ea34a-26ff-41cc-add9-09650e86ac1d,5
99e8a770-1849-4126-84aa-ec7cd436ffec,29f5407c-f74c-45f0-b68c-a68fc7d2eaab,3
99e8a770-1849-4126-84aa-ec7cd436ffec,f6f7ac83-14db-4179-a7dd-98db61797001,4
99e8a770-1849-4126-84aa-ec7cd436ffec,40e5832c-f174-4500-bfd2-a0c3313e6763,3
99e8a770-1849-4126-84aa-ec7cd436ffec,ca0410ec-6e20-4478-b727-da543ca23a3a,5
b8860827-d55b-45cc-a2d6-86ead44e2d8e,bea99ec1-ddf9-4477-9986-50ea619fb4e7,5
b8860827-d55b-45cc-a2d6-86ead44e2d8e,b41d32b9-dff6-4aae-a89d-b028a00bb1ba,4
b8860827-d55b-45cc-a2d6-86ead44e2d8e,ee3a68a5-fee7-4f4c-bfce-9d1839663e18,3
a798b8cb-2fe5-42e4-b44c-907c16380eef,4e96902a-b30d-468f-bd77-bb4ddc057652,3
a798b8cb-2fe5-42e4-b44c-907c16380eef,0d8535a9-952b-4e1d-aa6a-467d83f18271,4
a798b8cb-2fe5-42e4-b44c-907c16380eef,2539e7ab-8432-495f-985f-459efb1c95d3,5
a798b8cb-2fe5-42e4-b44c-907c16380eef,0bb49d69-d618-4535-9c3b-1c5a8af442d8,3
a798b8cb-2fe5-42e4-b44c-907c16380eef,3da6d17b-e14a-4202-9da2-1e03f58715e2,3
a798b8cb-2fe5-42e4-b44c-907c16380eef,9aa6dde3-92fc-4744-bd00-7986706bc538,5
a798b8cb-2fe5-42e4-b44c-907c16380eef,865b80b0-7243-4d5f-8a48-bf7e41d1034e,1
a798b8cb-2fe5-42e4-b44c-907c16380eef,ecf74dcf-dff7-4eb2-8912-90d3f8d3b4e1,4
a4a0c596-ef84-4637-b920-c9c364cfa5f7,93df3c53-73e2-4215-a122-65423caea6a7,1
a4a0c596-ef84-4637-b920-c9c364cfa5f7,123d7259-5302-47fd-a4fd-fb7beee56adc,3
dca2e4d0-aaa1-4e5a-80fc-7a866485da94,b376e394-0a9b-47c5-9245-9ae7b53e967e,5
dca2e4d0-aaa1-4e5a-80fc-7a866485da94,73b94622-5923-40a3-9aeb-b2e3472618cf,5
dca2e4d0-aaa1-4e5a-80fc-7a866485da94,1fb7289b-9abb-450e-9a64-b1b2785f47ff,2
