ITEM_ID,ITEM_NAME,MERCHANT_ID,ITEM_PRICE
d92d8e68-5c71-4fa8-8c11-b1256fca8a7b,BEVERAGE5,2bdc0e68-465c-4674-a3c7-5838ce8006b7,14.25
c3acaf60-3b74-4f24-abd9-dcc6485e5cbe,FOOD4,959e51df-2283-4445-ba1a-427600de64bd,23.57
39418526-48bf-4ab9-95be-ca8c026eea1c,FOOD4,1e93e327-a0f4-473a-aa9d-a26c7231e57b,14.62
968c876b-931c-4c76-a9b1-a794a0968f7f,BEVERAGE3,41f3756f-b6aa-4664-883e-a391aa8b8a1a,30.65
0c0658c7-8b18-4048-b258-28a920a1c356,BEVERAGE5,32cb6dbb-6297-4462-920c-cba590b43a0c,16.07
6cec7c13-f6c5-4ae2-bce9-9cc6004ee42d,FOOD3,60ebdcf6-29ba-4f09-b161-eb76f2959455,36.85
62508378-69bb-4c99-99cf-5e5bd5d41149,FOOD1,799bafda-85ae-4947-b9f7-0a67d7055bf1,31.59
ada49701-0a53-4641-9a99-777f7222961a,FOOD1,e7a0387f-34dc-43d0-b4bf-1df4b9bd9e07,47.2
52c6914d-e1be-4896-a6eb-3e12dc29dc37,BEVERAGE3,b7b5b650-74c6-4817-9045-e31558148fb2,24.75
1fa48a38-1bb7-49d1-a54c-2d7e07c3a009,FOOD1,e3d45e3d-5c79-41fd-8857-d51655747be6,30.87
87939e3a-fd8d-49a2-ae76-fd8dab5f6478,BEVERAGE3,5f0427e4-9067-4334-86ae-19908a056712,24.82
52b24354-7268-417a-b72e-f3b3b7e5defa,BEVERAGE3,1c1004c3-1aa0-4419-a56a-ea68d943d5ca,18.32
f0d2af7d-6430-4fac-9f05-3834441234fe,BEVERAGE2,bebdd153-34ea-46a1-a78c-20a2aed97bc2,11.65
8f9ca220-27fa-4462-a588-424f089c97a3,BEVERAGE4,80e5833b-545c-47cf-a993-94dc86ce0a22,27.41
8f5fc4fc-3d58-4f39-9d1e-9f8773617ab9,BEVERAGE4,8c08f49e-23b1-438a-a59f-54b4cd1f8319,16.27
3912df29-f411-4c86-afe3-bda87a9b358c,DESSERT4,3753ebdc-7bac-4ecc-bc67-52eced16a74c,14.46
c428798f-2670-49a6-be1c-0c849a77e632,BEVERAGE2,38c2590c-632f-4bad-ba03-a8eaa5fc5537,36.23
f6edaa61-59d7-4785-9c70-c671ec3536fa,BEVERAGE5,7aeb3395-b0dd-439f-874b-a7ef5a3834ad,35.22
1a7b2624-dba1-4d68-9629-195a6efe04fa,FOOD2,7d2360d0-6c3c-473e-859c-f19430cb118e,18.91
90408410-c80f-4b80-9cf0-779ad04dbfd3,DESSERT5,f7460e3d-9cab-464c-99a1-f201044fc47d,22.65
2a71ba2f-36a6-4bf9-bada-0a1f990bcaae,BEVERAGE2,472271d4-487d-483d-94da-1ac8f7c5e2f2,25.97
bef0449c-323b-43d6-b823-86fa46342a6e,DESSERT4,cfdb2298-40a4-4214-be4c-dfaf620f3e47,29.77
f6a2862f-3ae6-4b42-9933-fac71d078271,BEVERAGE2,7f1a4d03-0f6c-41ad-a026-775485397806,14.51
70e9325a-24b1-4fea-b6b8-ab3fd1166d1a,BEVERAGE2,dd1a13f0-d576-4147-9a05-99aed3f5da23,33.6
1ebc40d1-5da2-40a9-bcbc-e09c7cfe39e2,FOOD2,4cd4220b-e34a-444e-8cbe-91cec1a4f8bd,19.39
d4d84951-b3e9-41df-91ed-6c3583ba0296,DESSERT4,4caf4426-5bab-4cff-9dea-02aa0f48cf5b,16.99
f72f26cc-6912-4a52-b544-637af49241fc,BEVERAGE1,7632fb82-16b1-46f3-b2cc-04a907c0fbfd,38.53
2e8aa7ab-fcee-448e-8372-5d3c86f592e9,DESSERT4,abd2a369-ebec-495f-ad5f-4c12748d970f,32.49
521902c4-d288-4bad-b7c2-4d3dd4c7f558,FOOD4,7c7a90b2-a4cc-4501-895c-94baf7b677a9,24.47
84f21c28-c25d-4bd5-8450-5b8896ceb438,FOOD4,20f78022-3f43-4ee1-aefe-749fefa54c24,26.97
283cc410-4d6e-4759-8761-920806527ad0,DESSERT2,256cae91-9366-4dbd-baa6-1279b7cd1d95,47.68
65cf5610-ebe1-4cd4-89e3-53d12860127b,BEVERAGE3,bc908b18-bccc-4165-89b8-5d2177084dac,24.04
cabaa580-ce7d-406c-be10-e4c8d9987633,DESSERT2,333b9dd0-263e-4337-a5e6-cbce4e730207,26.4
eef03123-8615-4e35-9330-3af3e5e23c7b,DESSERT4,74edc19c-2501-4a89-ad01-cc7b0f651838,43.74
228cfc73-2a7d-4d44-a4fd-e0b562f7b4ad,BEVERAGE2,4a973279-d928-4ca7-b765-f85d65ce20a6,19.44
50ca76aa-a71c-4023-9bf1-1a7083e542ed,FOOD2,8c5b0d2b-f904-464d-9717-e15a73829cf6,16.13
55a3063d-97dd-4fad-be02-da7f9bf14dea,FOOD5,fa04ca3c-e63d-4cbe-b309-1d96698be291,20.64
1fc40d01-db88-47b1-8d1b-a2eb4f3c1cf7,DESSERT2,4798652c-b7d0-4a7f-8ee8-5fb5585e4c15,20.36
42966c47-a329-4501-9fbb-d4dcf8ab6191,BEVERAGE3,3fc688bc-1be3-4f98-a687-76f5d9090188,41.34
5dccc814-f061-4333-98a2-e1714a41d1ef,DESSERT3,a98c27b0-9861-4f9e-8bd0-29ff204ed639,13.34
029e6145-24ba-4a3e-a974-b455dc387124,FOOD3,95100e01-5dfb-464d-babe-73bc3a611cd4,28.48
bb18ef9a-cf44-424f-a0b6-4c4dd988de5b,DESSERT4,42d7178d-03fe-41bc-86c4-e7eebdcdf1c3,37.96
