ORDER_ID,CART_ID,DATE_ORDER,TOTAL_AMOUNT_SPEND,PAYMENT_ID
e616d4ba-b5d5-4756-a8b0-7d3531c1c82b,000705de-483a-4075-901c-1de8e870fcfd,2022-09-29 17:44:21,334.66,1e088554-b47a-4073-a4fd-05c82121e148
cd5a2188-b7e0-49ae-9a8d-e1ad4cfbdd9d,00124ecd-4712-4f18-b6c9-528903a4bbad,2021-05-28 03:50:19,225.23,af3af2fe-e96b-4c5d-ab66-f1329534d315
ad33e7be-82a8-4e6f-9dab-756d11a51887,00593320-4e20-4eb5-8741-5c33a72df2e1,2021-10-14 06:29:27,597.55,c50efd3d-d191-4276-b771-7537532073d9
72f79592-7d1a-4b90-adb7-6a91440c6fe9,007cc964-e99e-4085-a637-b03eb1d20163,2022-08-13 01:15:55,302.27,12af983c-fdfa-4b0a-bf55-d10cacb30cff
e9112f6b-2db9-4739-b454-d3446fd3af51,00a87854-5bcb-455d-94d8-6530e494e375,2022-07-27 07:44:52,377.98,94c89504-29a7-46ba-a08a-f9c387a1f38f
b9425ae4-d3a5-4825-b8e9-41125796d969,00b9e8d7-88f9-4b4e-b225-a7858320c5d4,2022-09-05 00:03:42,182.67,49e430bd-d627-4502-bee9-e21e95cac4a3
cb47529b-52b6-4d6d-9403-2b5df6a9f214,00bcf48f-bf7c-4edc-b4ba-36af28660456,2021-02-26 15:55:20,875.9499999999999,6c995b82-ef6a-4f27-a96c-3f689b024361
f3dd9cbe-b631-45fd-bc0f-bdfc3e89b10f,00db20e8-0ad8-45d9-8902-a4da5ef3b321,2022-11-18 10:27:54,432.63,88a9b8da-6169-4a97-81be-0d79d794aff8
c64d368f-02a2-4944-86ea-5c0a64398040,00ddca15-bbd1-43bc-917b-7a28c4fa37ac,2022-05-30 06:30:05,522.79,be68f8ce-f574-4169-b332-82fefd1ada85
eddf8f48-e22a-4ac0-9a86-2a3d86c9aa3f,00ecac11-62fa-49eb-ad9d-7a2d61b955e4,2022-10-07 17:03:59,482.61,914ec1f0-5f4e-4a02-bb2b-9787ceb9ff36
cbb72178-0768-4cf0-bd1b-b06018fe4b56,00fd5fb4-dd71-4fd0-ac2e-3cab5cfc41ab,2021-07-30 14:42:08,723.38,4e0f70e8-7359-4f76-981b-d9011e58b295
2a719e9f-94ab-4e0e-9d14-5b6a1b0daea3,0111fc55-abcf-437c-a7f0-3c186b2e13df,2022-12-04 12:08:07,358.18,165bdc7e-11fb-4915-a02a-ca6ec6fdb6ae
