SESSION_ID,ACCOUNT_ID,STARTED_AT,ENDED_AT
969dbb85-f6d3-46b7-8ed4-00a0fec5dc64,e37db48b-3954-4589-9415-d63bf210c808,2022-07-26 21:00:52,2022-07-26 21:00:54
896096f4-472a-40ea-bca7-5b1b31eb41f6,9524e2c9-d54f-4018-91bc-f5c356cb4e4f,2022-03-31 03:03:10,2022-03-31 03:12:34
bb461349-662c-47b0-bae9-e2944b044ff1,23f986b9-77c7-4117-ae01-0a0ca91b8600,2022-10-20 19:02:51,2022-10-20 19:29:48
c4c4439c-89ec-467e-beb8-81735019ceb2,548dd030-f90a-4e53-9482-d9c1c6dc72c3,2021-01-12 18:21:04,2021-01-12 18:31:33
77758cd7-3551-4494-9c76-4ef645da3998,9f4a882b-a2cf-4a21-b066-78d6f1b62b80,2021-08-31 03:20:47,2021-08-31 03:29:52
79ad10d7-f724-45f7-8fb1-596e8eb5a02d,7cf7f815-04bd-4d75-a8b4-deb3af772ea3,2021-03-05 07:23:22,2021-03-05 07:31:08
c54f58de-7725-4f25-845a-f7d780338088,9a1a1760-3a17-4713-b591-39cfd8260667,2022-02-22 19:50:03,2022-02-22 20:07:47
39943c5c-c337-4f0b-9d1c-ef2edf417f37,e707a772-9ad6-4b09-aea8-ad56440c3879,2022-03-22 07:48:54,2022-03-22 08:07:21
4bbe22b5-3fd4-4d3d-ad1e-2a2b6120683c,d4037b4f-4e96-4de4-825f-b26810d1599c,2022-08-16 03:44:49,2022-08-16 03:52:41
f55c89cd-c7a0-430e-8e0d-f8a2b1ace219,29ec58ae-6ff3-4ef6-ba46-352673a09509,2022-11-21 17:23:43,2022-11-21 17:41:02
67617315-2189-4db0-998d-2ef63d5da6db,7a37acf8-5939-45e2-a2d9-54040265fc06,2021-09-02 16:11:22,2021-09-02 16:12:24
ce0ef918-d7c9-4e3d-81c6-dd8d878e7eca,6844d875-d8a7-4288-90f0-f3144a781ae8,2022-03-16 09:48:12,2022-03-16 09:58:41
3f857230-493f-40d3-bff2-9a99958b13db,100ef432-c0c0-4512-9b4a-7a98cdcbf6bb,2021-08-01 07:23:19,2021-08-01 07:49:37
f714d3bb-72e7-488f-89cd-121759143471,04362a54-4b76-4590-8850-5b3018d05405,2022-12-09 18:19:40,2022-12-09 18:30:08
09558bc5-3e55-447c-b48e-19e339d5c7ce,fd7a9240-8afe-4dc5-8495-1c6b284e9d3e,2022-02-16 10:23:14,2022-02-16 10:49:02
5bd49e31-d298-4f26-a81b-d6187bbf8738,644eb7fc-618a-462d-8902-5a6437f9d2cb,2021-01-13 17:32:33,2021-01-13 17:50:57
a4ce98a8-2c56-45bb-bcf6-ac4e041e799c,57623865-d71c-41d6-a688-27afcb8005bf,2022-07-12 05:27:34,2022-07-12 05:42:14
13c9fa72-8e2d-47b1-b7a9-4573877b5137,418d784a-cd8d-4be6-9df9-97fa4afa1f8e,2022-01-21 02:02:54,2022-01-21 02:14:29
fe74e1be-6536-4d44-9623-647ef1205e01,4586fcb0-a039-4d61-9aa5-1de78a6af0fe,2022-01-17 08:05:27,2022-01-17 08:07:26
f93aa495-be1a-4196-be03-5a7c88fd6092,dbaeefbe-5521-45f3-9be2-a708601a8325,2021-08-25 17:08:58,2021-08-25 17:10:39
de2fe69b-79fd-48fd-8cbd-820be72d4e73,0859219e-d221-4319-b0f9-e34ab507d9f7,2022-10-07 00:09:44,2022-10-07 00:21:10
66c99a0e-d2c8-4198-9d69-c0dc46be2070,f68b724d-50b9-4807-a6ef-c17a71bb9116,2022-04-12 21:57:37,2022-04-12 22:21:38
5661f652-ca12-46f9-84ec-a23ef18f502f,da371928-3222-4cf9-bb05-7cadfa3d4bb0,2022-04-06 07:59:20,2022-04-06 08:12:05
1506f88c-2c9c-466a-92ad-9ae08e29a7af,3e5eddc4-58e3-4d9d-8c56-140eb279c541,2021-10-31 18:07:35,2021-10-31 18:17:04
ecbe05d6-f96f-48f0-975a-d100e605e21e,ff4d6f02-52a6-4066-a7cf-aebc4c0cf7a8,2022-09-19 02:40:33,2022-09-19 02:57:39
93cbc0a5-f3ba-49ee-8ac1-9a49195bea27,f1c4d20d-0529-4170-a1c8-cc796d806a57,2022-02-08 10:33:24,2022-02-08 10:40:09
1c4c3073-8b8b-48d6-b6d3-1b7e6af89d9a,42e280b6-3218-4dc1-9b72-118c265bfaef,2021-10-14 02:58:29,2021-10-14 03:06:53
9bf6bb6a-0228-4733-a5b2-f8d2f0b01886,7710e36c-f145-493d-9070-a73118e2cd34,2022-12-02 05:39:08,2022-12-02 05:58:45
174e6b53-cdba-4957-b3b1-30c23a7fc580,6bfbbe50-ab9b-4d73-9e72-37c74e3d517a,2021-06-17 09:25:59,2021-06-17 09:45:33
8738a822-02b3-41a2-afbf-765f621356b0,61070386-57aa-4e05-9cb1-ada6168b9734,2021-04-12 19:11:52,2021-04-12 19:19:32
