CART_ID,CLOSED_CART,HAS_ORDER,SESSION_ID
0002f0d6-735e-40d6-a2df-0191d284860e,0,0,969dbb85-f6d3-46b7-8ed4-00a0fec5dc64
000705de-483a-4075-901c-1de8e870fcfd,1,1,896096f4-472a-40ea-bca7-5b1b31eb41f6
000bfbb1-749c-4ef9-834b-b1ae8d9732a6,0,0,bb461349-662c-47b0-bae9-e2944b044ff1
00124ecd-4712-4f18-b6c9-528903a4bbad,1,1,c4c4439c-89ec-467e-beb8-81735019ceb2
002bf3eb-6b10-4c9a-b358-02f61cd58525,0,0,77758cd7-3551-4494-9c76-4ef645da3998
002c7c44-0199-4491-b256-9f083f87c31e,0,0,79ad10d7-f724-45f7-8fb1-596e8eb5a02d
003f43ae-6c39-4581-8131-67d80ce4e4ff,0,0,c54f58de-7725-4f25-845a-f7d780338088
00522713-47c5-4c3c-994c-202486a1f8f2,0,0,39943c5c-c337-4f0b-9d1c-ef2edf417f37
005684ed-bb1e-4772-842b-c6751428cd76,0,0,4bbe22b5-3fd4-4d3d-ad1e-2a2b6120683c
00593320-4e20-4eb5-8741-5c33a72df2e1,1,1,f55c89cd-c7a0-430e-8e0d-f8a2b1ace219
007cc964-e99e-4085-a637-b03eb1d20163,1,1,67617315-2189-4db0-998d-2ef63d5da6db
0082b134-362c-43d2-b218-317126f7b8f8,0,0,ce0ef918-d7c9-4e3d-81c6-dd8d878e7eca
008f7828-d00e-4985-9e72-43c1cc4be683,0,0,3f857230-493f-40d3-bff2-9a99958b13db
0091b0ba-f820-458f-baeb-159fc617e668,0,0,f714d3bb-72e7-488f-89cd-121759143471
00a67cd3-e0f7-4e96-abc5-425a61f08ba4,0,0,09558bc5-3e55-447c-b48e-19e339d5c7ce
00a87854-5bcb-455d-94d8-6530e494e375,1,1,5bd49e31-d298-4f26-a81b-d6187bbf8738
00b9e8d7-88f9-4b4e-b225-a7858320c5d4,1,1,a4ce98a8-2c56-45bb-bcf6-ac4e041e799c
00bc842f-d77a-4edd-9c74-d82d53179c79,0,0,13c9fa72-8e2d-47b1-b7a9-4573877b5137
00bcf48f-bf7c-4edc-b4ba-36af28660456,1,1,fe74e1be-6536-4d44-9623-647ef1205e01
00c0e5b8-dc7d-4824-a53a-3fba3f06716f,0,0,f93aa495-be1a-4196-be03-5a7c88fd6092
00c36f69-d797-4854-9861-e21b2a81affe,0,0,de2fe69b-79fd-48fd-8cbd-820be72d4e73
00c39f9e-8cb7-449d-ab28-7ed303233a59,0,0,66c99a0e-d2c8-4198-9d69-c0dc46be2070
00d1dbfe-f3f0-46dc-a424-4b7344cbdbfc,0,0,5661f652-ca12-46f9-84ec-a23ef18f502f
00db20e8-0ad8-45d9-8902-a4da5ef3b321,1,1,1506f88c-2c9c-466a-92ad-9ae08e29a7af
00ddca15-bbd1-43bc-917b-7a28c4fa37ac,1,1,ecbe05d6-f96f-48f0-975a-d100e605e21e
00e8d837-95c4-444d-984a-4f6123fa62ea,1,0,93cbc0a5-f3ba-49ee-8ac1-9a49195bea27
00eac27e-0a04-4321-aa37-1888c992355f,0,0,1c4c3073-8b8b-48d6-b6d3-1b7e6af89d9a
