CART_ID,TOTAL_AMOUNT_SPEND,HAS_ORDER,CLOSED_CART
0002f0d6-735e-40d6-a2df-0191d284860e,364.45,0,0
000705de-483a-4075-901c-1de8e870fcfd,334.66,1,1
000bfbb1-749c-4ef9-834b-b1ae8d9732a6,171.89000000000001,0,0
00124ecd-4712-4f18-b6c9-528903a4bbad,225.23000000000002,1,1
002bf3eb-6b10-4c9a-b358-02f61cd58525,259.7,0,0
002c7c44-0199-4491-b256-9f083f87c31e,281.08,0,0
003f43ae-6c39-4581-8131-67d80ce4e4ff,101.77000000000001,0,0
00522713-47c5-4c3c-994c-202486a1f8f2,152.25,0,0
005684ed-bb1e-4772-842b-c6751428cd76,205.01,0,0
00593320-4e20-4eb5-8741-5c33a72df2e1,597.55,1,1
007cc964-e99e-4085-a637-b03eb1d20163,302.27,1,1
0082b134-362c-43d2-b218-317126f7b8f8,272.09,0,0
008f7828-d00e-4985-9e72-43c1cc4be683,67.3,0,0
0091b0ba-f820-458f-baeb-159fc617e668,357.78,0,0
00a67cd3-e0f7-4e96-abc5-425a61f08ba4,397.67,0,0
00a87854-5bcb-455d-94d8-6530e494e375,377.98,1,1
00b9e8d7-88f9-4b4e-b225-a7858320c5d4,182.67000000000002,1,1
00bc842f-d77a-4edd-9c74-d82d53179c79,537.0699999999999,0,0
00bcf48f-bf7c-4edc-b4ba-36af28660456,875.9499999999999,1,1
00c0e5b8-dc7d-4824-a53a-3fba3f06716f,564.2,0,0
00c36f69-d797-4854-9861-e21b2a81affe,600.0,0,0
00c39f9e-8cb7-449d-ab28-7ed303233a59,190.59,0,0
00d1dbfe-f3f0-46dc-a424-4b7344cbdbfc,482.39,0,0
00db20e8-0ad8-45d9-8902-a4da5ef3b321,432.63,1,1
00ddca15-bbd1-43bc-917b-7a28c4fa37ac,522.79,1,1
00e8d837-95c4-444d-984a-4f6123fa62ea,927.3,0,1
00eac27e-0a04-4321-aa37-1888c992355f,322.25,0,0
00ecac11-62fa-49eb-ad9d-7a2d61b955e4,482.61,1,1
00f11e24-a753-421b-9a65-ce2c61b3f73f,204.20000000000002,0,0
00fd5fb4-dd71-4fd0-ac2e-3cab5cfc41ab,723.38,1,1
010a8a45-a60a-4078-8e50-10b9b80db84b,614.75,0,0
010fbf18-fc5a-4239-963f-def4e9eb4543,521.76,0,0
0111fc55-abcf-437c-a7f0-3c186b2e13df,358.18,1,1
01145aac-fc09-48f4-b28a-8dcaa894f2e5,1111.72,1,1
01205c1d-3ef6-4ec1-9ec4-4a31705c6290,535.9100000000001,1,1
0133a0d0-33d4-49be-95fa-8fb0e356c562,218.18,1,1
0136f4a8-342c-4edc-abbe-1281f9c0c535,923.6800000000001,1,1
013a04ed-979c-4976-88ab-30e7d475cb63,592.54,0,1
014b6531-5572-4d62-b3eb-373182e0cfdd,423.3,0,0
014e20c9-a27f-495b-b4bc-8227ffd3c972,135.12,1,1
01667724-4f35-4997-88e7-f1d91fb831f1,112.25999999999999,0,0
0168682d-805c-4b57-b020-fe7d95e1d09c,123.44999999999999,1,1
0169cf16-a51a-4070-bd04-5cafd612396b,587.85,0,0
018f5d8c-cf93-4dca-980c-97f504756f57,700.1800000000001,1,1
01917bab-1576-48e9-85d1-d0cd1886a69f,370.58000000000004,0,0
019b81fb-bfb0-425e-a9af-3e2ae6f332c3,540.87,0,0
01a5d663-5e90-4fe3-8101-a6674761b727,809.02,0,0
01a76d86-45a8-48d2-9aa1-ce23b26414ea,640.33,1,1
01a8e07d-2179-493a-867e-318d5d279ea2,520.74,0,0
01ab679b-e480-4c57-bc67-7619dd9360a6,767.0500000000001,1,1
01b25c73-4d63-4426-8567-237cb89cde0a,730.09,1,1
01b58cf2-c91c-424a-89d1-e99645c2f7cf,479.14,0,0
01b7a484-f583-452c-9b64-502ec7429a3c,514.39,0,1
01bae48a-2a20-49c8-9ffb-63736919ea63,450.2,0,0
01c90d2a-68d8-415b-94c3-3dd8feb44287,439.32,0,0
01ce579e-f3c4-4ef5-8b17-e4b434dbe9d1,356.15,1,1
01ea4c5c-7d4a-4911-ad83-5da2f3eef00a,149.87,0,0
01ee8779-f3d3-41a5-9e8a-54a35709064c,603.11,1,1
01fa30e2-fab9-421f-a548-4cb75514b170,463.73,0,0
02007569-393f-429b-b4ad-f7c89061fb26,533.97,1,1
0203c71e-846b-4e4a-8eb6-cbc578cf8bf2,281.86,1,1
0205b469-21f0-4d4e-87a7-c94b153df695,356.76,0,0
020cf5f4-3461-4c9a-af07-91f4748af859,459.77,0,0
0221c781-b356-4cdc-8ee1-9d8143b7b08e,491.41999999999996,0,0
0222e881-745c-409d-bbe2-000e5e8e5b05,820.8299999999999,1,1
022b0406-224a-4338-987b-545ddb739169,623.21,0,0
022b643c-f45a-44ce-a3b3-c5e661514d0d,419.24,1,1
022ca93e-8251-4e87-b049-6b7bccc1b47b,28.15,0,0
02450f59-aa5f-4e34-86cd-a459fab037e6,352.16999999999996,0,0
0246d9c1-149b-42db-96ab-64abee2f772e,452.7,0,1
0257e8ee-d6f9-4cc1-97e0-b5233d62c4c9,699.12,0,0
0259ee9c-cc63-45eb-b1d6-f42f8a0fd942,282.48,1,1
025f419d-819a-4973-bf38-315d44d6939b,476.96,1,1
02678570-c3f0-4f76-8cc0-24aba68042fe,134.43,0,0
026c3c80-0334-4980-a6a7-04b44947071f,541.1,1,1
026d93c6-729a-4022-a936-bae70737562d,397.17,0,0
026f23e8-4d81-43ee-9f98-a63871fb1619,442.1,0,0
026f2bfb-01ac-44a2-b8d2-a4dad008f8d4,368.28999999999996,0,0
027394df-5080-499b-9d4f-fc3410e10d50,258.28,1,1
0278cb28-f77b-432f-9846-3ec65f9eb956,269.51,0,0
0278cd22-1429-47c1-b985-ca49e14b338b,335.65,0,0
027a9142-0cc1-4c26-9ade-236920103615,304.89,0,0
0287d0d6-3247-42c0-9ae1-2337b3a8b70b,220.46,0,0
02965107-9a37-4115-9841-787f97514cc0,328.54,1,1
029b4cfd-32e8-4997-b86a-3e0d6d07740b,246.7,0,0
029d0b6f-060d-435b-8e5a-d4bd86572287,254.89,0,0
02a5642e-151b-4803-801d-979a3a0a48aa,537.1,1,1
02b0f5d7-7306-4cf9-a54e-636515f2bbfe,369.59,0,0
02bcc4a4-40b5-4fc3-9e26-2b99217b6d14,403.29,1,1
02c0e5e5-81e9-4b44-8834-ed5ac63d3965,713.57,0,0
02c50689-244d-45c5-a47a-350869912e17,200.43,1,1
02c58113-a492-471b-984b-606640cf19c3,637.73,1,1
02ddc42c-7722-49f0-ae10-4052cb14a529,329.58,1,1
02e4fac0-081e-4ca7-be5b-a429cd51fab0,69.9,0,0
02e53e75-dc0b-47f4-a0bf-c1608b2a68f3,234.39,1,1
02ebf24f-468b-49a1-94ca-0f81e792f107,361.83,0,0
02f39714-d07e-4b33-8fc4-d8671589c980,516.95,0,0
02f5b465-eb28-4f55-95c0-11faa209b00f,259.07,1,1
02fa2854-557f-4640-84a8-51a221648400,449.64,1,1
030e236b-119b-4536-8976-feeab3f54e17,133.25,0,0
03112725-878b-49cf-b0e7-b3a88afc1f78,722.61,1,1
032cbdd8-ac1c-4309-8e91-6fe8a875262f,597.3,0,1
032cd3d1-79c8-4719-aab7-d153327f735b,490.41999999999996,1,1
0332a5bc-426f-4ddb-a7bc-7fa35aa158a2,328.61,0,0
0334474f-fd21-4813-8672-8370b41826a5,734.16,0,0
03376f2b-5764-4635-9e33-47ba6bcc9e0c,268.57,1,1
033cdaaf-eb3a-4d22-871f-86ee5468e006,332.13,0,0
033d7658-f512-4c28-974e-bf551a9fa5eb,1258.51,0,0
034602e4-f1ab-4b7f-b5eb-67755dac48ed,363.25,0,0
03490632-24ed-4ea1-9652-4146603c8309,735.9699999999999,0,0
034b6708-6888-43ab-8e16-74b9f7b32f8c,811.48,0,0
034d82be-94a3-403f-9881-1ab97649a98d,167.68,1,1
0351d887-ff01-47e7-b42f-3e562f42732a,293.03,0,0
035bea41-98a0-4de6-9ee4-bc0ccf45177e,454.63,0,0
